"Time","vera-rubin-simulator"
2020-11-27 10:26:00,
2020-11-27 10:26:30,
2020-11-27 10:27:00,362
2020-11-27 10:27:30,784
2020-11-27 10:28:00,1221
2020-11-27 10:28:30,1657
2020-11-27 10:29:00,2094
2020-11-27 10:29:30,2561
2020-11-27 10:30:00,3028
2020-11-27 10:30:30,3495
2020-11-27 10:31:00,3962
2020-11-27 10:31:30,4474
2020-11-27 10:32:00,4535
2020-11-27 10:32:30,4576
2020-11-27 10:33:00,4608
2020-11-27 10:33:30,4644
2020-11-27 10:34:00,4656
2020-11-27 10:34:30,4655
2020-11-27 10:35:00,4656
2020-11-27 10:35:30,4655
2020-11-27 10:36:00,4655
2020-11-27 10:36:30,4656
2020-11-27 10:37:00,4655
2020-11-27 10:37:30,4655
2020-11-27 10:38:00,4655
2020-11-27 10:38:30,4655
2020-11-27 10:39:00,4655
2020-11-27 10:39:30,4656
2020-11-27 10:40:00,4656
2020-11-27 10:40:30,4657
2020-11-27 10:41:00,4657
2020-11-27 10:41:30,4658
2020-11-27 10:42:00,4658
2020-11-27 10:42:30,4658
2020-11-27 10:43:00,4658
2020-11-27 10:43:30,4657
2020-11-27 10:44:00,4657
2020-11-27 10:44:30,4657
2020-11-27 10:45:00,4657
2020-11-27 10:45:30,4657
2020-11-27 10:46:00,4657
2020-11-27 10:46:30,4656
2020-11-27 10:47:00,4657
2020-11-27 10:47:30,4656
2020-11-27 10:48:00,4656
2020-11-27 10:48:30,4656

