"Time","vera-rubin-simulator"
2020-11-26 10:16:30,
2020-11-26 10:17:00,
2020-11-26 10:17:30,3703581
2020-11-26 10:18:00,6445913
2020-11-26 10:18:30,9169263
2020-11-26 10:19:00,11929511
2020-11-26 10:19:30,14659087
2020-11-26 10:20:00,17416143
2020-11-26 10:20:30,20157693
2020-11-26 10:21:00,22928497
2020-11-26 10:21:30,25662933
2020-11-26 10:22:00,27391978
2020-11-26 10:22:30,27425869
2020-11-26 10:23:00,27413472
2020-11-26 10:23:30,27450308
2020-11-26 10:24:00,27441999
2020-11-26 10:24:30,27414376
2020-11-26 10:25:00,27416173
2020-11-26 10:25:30,27394637
2020-11-26 10:26:00,27343192
2020-11-26 10:26:30,27351426
2020-11-26 10:27:00,27330991
2020-11-26 10:27:30,27332708
2020-11-26 10:28:00,27319992
2020-11-26 10:28:30,27333354
2020-11-26 10:29:00,27359409
2020-11-26 10:29:30,27355121
2020-11-26 10:30:00,27361642
2020-11-26 10:30:30,27383313
2020-11-26 10:31:00,27407758
2020-11-26 10:31:30,27439942
2020-11-26 10:32:00,27455701
2020-11-26 10:32:30,27449647
2020-11-26 10:33:00,27463997
2020-11-26 10:33:30,27439585
2020-11-26 10:34:00,27441648
2020-11-26 10:34:30,27462770
2020-11-26 10:35:00,27426546
2020-11-26 10:35:30,27408422
2020-11-26 10:36:00,27385414
2020-11-26 10:36:30,27385254
2020-11-26 10:37:00,27369904
2020-11-26 10:37:30,27366619
2020-11-26 10:38:00,27362684
2020-11-26 10:38:30,27350686
2020-11-26 10:39:00,27360704
2020-11-26 10:39:30,27375452
2020-11-26 10:40:00,27388408
2020-11-26 10:40:30,27398234
2020-11-26 10:41:00,27424251
2020-11-26 10:41:30,27419730
2020-11-26 10:42:00,27434878
2020-11-26 10:42:30,27421244
2020-11-26 10:43:00,27450001
2020-11-26 10:43:30,27458776
2020-11-26 10:44:00,27446398
2020-11-26 10:44:30,27458121

