"Time","dummy1"
2020-11-26 15:12:30,
2020-11-26 15:13:00,11799774
2020-11-26 15:13:30,21873950
2020-11-26 15:14:00,31420190
2020-11-26 15:14:30,41147025
2020-11-26 15:15:00,51528219
2020-11-26 15:15:30,62110460
2020-11-26 15:16:00,72676682
2020-11-26 15:16:30,83266240
2020-11-26 15:17:00,93860392
2020-11-26 15:17:30,101531051
2020-11-26 15:18:00,102486884
2020-11-26 15:18:30,103398991
2020-11-26 15:19:00,104596906
2020-11-26 15:19:30,104985245
2020-11-26 15:20:00,105152911
2020-11-26 15:20:30,105250504
2020-11-26 15:21:00,105308417
2020-11-26 15:21:30,105384531
2020-11-26 15:22:00,105610205
2020-11-26 15:22:30,105801879
2020-11-26 15:23:00,105708486
2020-11-26 15:23:30,103081753
2020-11-26 15:24:00,105546622
2020-11-26 15:24:30,105288312
2020-11-26 15:25:00,105225728
2020-11-26 15:25:30,105007049
2020-11-26 15:26:00,104775122
2020-11-26 15:26:30,104775164
2020-11-26 15:27:00,104840402
2020-11-26 15:27:30,104789523
2020-11-26 15:28:00,104668817
2020-11-26 15:28:30,104502761
2020-11-26 15:29:00,104816606
2020-11-26 15:29:30,104682807
2020-11-26 15:30:00,104423009
2020-11-26 15:30:30,104652102
2020-11-26 15:31:00,104681692
2020-11-26 15:31:30,104665290
2020-11-26 15:32:00,104718890
2020-11-26 15:32:30,104814638
2020-11-26 15:33:00,104935922
2020-11-26 15:33:30,104768034
2020-11-26 15:34:00,104882183
2020-11-26 15:34:30,104857431
2020-11-26 15:35:00,105003166
2020-11-26 15:35:30,104955614

