"Time","dummy1"
2020-11-26 15:12:30,
2020-11-26 15:13:00,132
2020-11-26 15:13:30,240
2020-11-26 15:14:00,344
2020-11-26 15:14:30,449
2020-11-26 15:15:00,563
2020-11-26 15:15:30,678
2020-11-26 15:16:00,793
2020-11-26 15:16:30,909
2020-11-26 15:17:00,1023
2020-11-26 15:17:30,1107
2020-11-26 15:18:00,1116
2020-11-26 15:18:30,1126
2020-11-26 15:19:00,1138
2020-11-26 15:19:30,1144
2020-11-26 15:20:00,1146
2020-11-26 15:20:30,1147
2020-11-26 15:21:00,1147
2020-11-26 15:21:30,1148
2020-11-26 15:22:00,1149
2020-11-26 15:22:30,1151
2020-11-26 15:23:00,1152
2020-11-26 15:23:30,1123
2020-11-26 15:24:00,1151
2020-11-26 15:24:30,1148
2020-11-26 15:25:00,1147
2020-11-26 15:25:30,1147
2020-11-26 15:26:00,1144
2020-11-26 15:26:30,1145
2020-11-26 15:27:00,1144
2020-11-26 15:27:30,1142
2020-11-26 15:28:00,1141
2020-11-26 15:28:30,1140
2020-11-26 15:29:00,1142
2020-11-26 15:29:30,1141
2020-11-26 15:30:00,1141
2020-11-26 15:30:30,1142
2020-11-26 15:31:00,1142
2020-11-26 15:31:30,1141
2020-11-26 15:32:00,1142
2020-11-26 15:32:30,1143
2020-11-26 15:33:00,1143
2020-11-26 15:33:30,1143
2020-11-26 15:34:00,1143
2020-11-26 15:34:30,1143
2020-11-26 15:35:00,1144
2020-11-26 15:35:30,1143

