"Time","vera-rubin-simulator"
2020-11-26 15:45:30,
2020-11-26 15:46:00,
2020-11-26 15:46:30,95
2020-11-26 15:47:00,204
2020-11-26 15:47:30,315
2020-11-26 15:48:00,423
2020-11-26 15:48:30,540
2020-11-26 15:49:00,657
2020-11-26 15:49:30,774
2020-11-26 15:50:00,891
2020-11-26 15:50:30,1007
2020-11-26 15:51:00,1132
2020-11-26 15:51:30,1145
2020-11-26 15:52:00,1152
2020-11-26 15:52:30,1159
2020-11-26 15:53:00,1166
2020-11-26 15:53:30,1166
2020-11-26 15:54:00,1165
2020-11-26 15:54:30,1165
2020-11-26 15:55:00,1165
2020-11-26 15:55:30,1164
2020-11-26 15:56:00,1165
2020-11-26 15:56:30,1166
2020-11-26 15:57:00,1165
2020-11-26 15:57:30,1166
2020-11-26 15:58:00,1165
2020-11-26 15:58:30,1165
2020-11-26 15:59:00,1165
2020-11-26 15:59:30,1166
2020-11-26 16:00:00,1166
2020-11-26 16:00:30,1166
2020-11-26 16:01:00,1165
2020-11-26 16:01:30,1166
2020-11-26 16:02:00,1165
2020-11-26 16:02:30,1166
2020-11-26 16:03:00,1165
2020-11-26 16:03:30,1166
2020-11-26 16:04:00,1165
2020-11-26 16:04:30,1166
2020-11-26 16:05:00,1166
2020-11-26 16:05:30,1166
2020-11-26 16:06:00,1166
2020-11-26 16:06:30,1166
2020-11-26 16:07:00,1166
2020-11-26 16:07:30,1167
2020-11-26 16:08:00,1166
2020-11-26 16:08:30,1167

