"Time","vera-rubin-simulator"
2020-11-26 16:21:00,
2020-11-26 16:21:30,
2020-11-26 16:22:00,139
2020-11-26 16:22:30,241
2020-11-26 16:23:00,345
2020-11-26 16:23:30,449
2020-11-26 16:24:00,558
2020-11-26 16:24:30,670
2020-11-26 16:25:00,783
2020-11-26 16:25:30,897
2020-11-26 16:26:00,1010
2020-11-26 16:26:30,1085
2020-11-26 16:27:00,1096
2020-11-26 16:27:30,1104
2020-11-26 16:28:00,1112
2020-11-26 16:28:30,1119
2020-11-26 16:29:00,1121
2020-11-26 16:29:30,1119
2020-11-26 16:30:00,1119
2020-11-26 16:30:30,1119
2020-11-26 16:31:00,1119
2020-11-26 16:31:30,1119
2020-11-26 16:32:00,1119
2020-11-26 16:32:30,1119
2020-11-26 16:33:00,1123
2020-11-26 16:33:30,1125
2020-11-26 16:34:00,1128
2020-11-26 16:34:30,1131
2020-11-26 16:35:00,1130
2020-11-26 16:35:30,1130
2020-11-26 16:36:00,1131
2020-11-26 16:36:30,1132
2020-11-26 16:37:00,1134
2020-11-26 16:37:30,1134
2020-11-26 16:38:00,1133
2020-11-26 16:38:30,1131
2020-11-26 16:39:00,1130
2020-11-26 16:39:30,1130
2020-11-26 16:40:00,1131
2020-11-26 16:40:30,1133
2020-11-26 16:41:00,1133
2020-11-26 16:41:30,1132
2020-11-26 16:42:00,1133
2020-11-26 16:42:30,1133
2020-11-26 16:43:00,1133
2020-11-26 16:43:30,1134
2020-11-26 16:44:00,1134
2020-11-26 16:44:30,1133
2020-11-26 16:45:00,1132
2020-11-26 16:45:30,1130
2020-11-26 16:46:00,1131
2020-11-26 16:46:30,1132
2020-11-26 16:47:00,1131
2020-11-26 16:47:30,1130
2020-11-26 16:48:00,1130
2020-11-26 16:48:30,1129
2020-11-26 16:49:00,1131
2020-11-26 16:49:30,1131
2020-11-26 16:50:00,1132
2020-11-26 16:50:30,1132
2020-11-26 16:51:00,1132
2020-11-26 16:51:30,1131
2020-11-26 16:52:00,1131
2020-11-26 16:52:30,1130
2020-11-26 16:53:00,1131
2020-11-26 16:53:30,1131
2020-11-26 16:54:00,1131
2020-11-26 16:54:30,1130
2020-11-26 16:55:00,1131
2020-11-26 16:55:30,1130
2020-11-26 16:56:00,1130
2020-11-26 16:56:30,1130
2020-11-26 16:57:00,1131
2020-11-26 16:57:30,1130
2020-11-26 16:58:00,1131

