"Time","vera-rubin-simulator"
2020-11-24 13:38:00,
2020-11-24 13:38:30,6148506
2020-11-24 13:39:00,11543377
2020-11-24 13:39:30,16887197
2020-11-24 13:40:00,22173093
2020-11-24 13:40:30,27445541
2020-11-24 13:41:00,32725226
2020-11-24 13:41:30,37994557
2020-11-24 13:42:00,43271649
2020-11-24 13:42:30,48523448
2020-11-24 13:43:00,52827838
2020-11-24 13:43:30,52818299
2020-11-24 13:44:00,52756754
2020-11-24 13:44:30,52685629
2020-11-24 13:45:00,52674696
2020-11-24 13:45:30,52648180
2020-11-24 13:46:00,52634274
2020-11-24 13:46:30,52631334
2020-11-24 13:47:00,52625364
2020-11-24 13:47:30,52593677
2020-11-24 13:48:00,52589832
2020-11-24 13:48:30,52563171
2020-11-24 13:49:00,52561189
2020-11-24 13:49:30,52570419
2020-11-24 13:50:00,52581618
2020-11-24 13:50:30,52586344
2020-11-24 13:51:00,52592162
2020-11-24 13:51:30,52599199
2020-11-24 13:52:00,52618777
2020-11-24 13:52:30,52632264
2020-11-24 13:53:00,52647684
2020-11-24 13:53:30,52663125
2020-11-24 13:54:00,52682128
2020-11-24 13:54:30,52659771
2020-11-24 13:55:00,52670787
2020-11-24 13:55:30,52664110
2020-11-24 13:56:00,52678445
2020-11-24 13:56:30,52682933
2020-11-24 13:57:00,52664768
2020-11-24 13:57:30,52674236
2020-11-24 13:58:00,52668345
2020-11-24 13:58:30,52693049
2020-11-24 13:59:00,52694487
2020-11-24 13:59:30,52714857
2020-11-24 14:00:00,52718478
2020-11-24 14:00:30,52745590
2020-11-24 14:01:00,52750224
2020-11-24 14:01:30,52783985
2020-11-24 14:02:00,52788073
2020-11-24 14:02:30,52804101
2020-11-24 14:03:00,52786394
2020-11-24 14:03:30,52788785
2020-11-24 14:04:00,52779334
2020-11-24 14:04:30,52785464
2020-11-24 14:05:00,52789499
2020-11-24 14:05:30,52799429
2020-11-24 14:06:00,52791776
2020-11-24 14:06:30,52788210

