"Time","vera-rubin-simulator"
2020-11-24 17:34:30,
2020-11-24 17:35:00,47
2020-11-24 17:35:30,76
2020-11-24 17:36:00,105
2020-11-24 17:36:30,134
2020-11-24 17:37:00,163
2020-11-24 17:37:30,192
2020-11-24 17:38:00,221
2020-11-24 17:38:30,250
2020-11-24 17:39:00,280
2020-11-24 17:39:30,291
2020-11-24 17:40:00,291
2020-11-24 17:40:30,291
2020-11-24 17:41:00,291
2020-11-24 17:41:30,291
2020-11-24 17:42:00,291
2020-11-24 17:42:30,291
2020-11-24 17:43:00,291
2020-11-24 17:43:30,291
2020-11-24 17:44:00,291
2020-11-24 17:44:30,291
2020-11-24 17:45:00,292
2020-11-24 17:45:30,292
2020-11-24 17:46:00,291
2020-11-24 17:46:30,291
2020-11-24 17:47:00,291
2020-11-24 17:47:30,292
2020-11-24 17:48:00,291
2020-11-24 17:48:30,292
2020-11-24 17:49:00,291
2020-11-24 17:49:30,291
2020-11-24 17:50:00,291
2020-11-24 17:50:30,291
2020-11-24 17:51:00,291
2020-11-24 17:51:30,292
2020-11-24 17:52:00,291
2020-11-24 17:52:30,292
2020-11-24 17:53:00,291
2020-11-24 17:53:30,291
2020-11-24 17:54:00,292
2020-11-24 17:54:30,292
2020-11-24 17:55:00,291

