"Time","vera-rubin-simulator"
2020-11-24 18:05:30,
2020-11-24 18:06:00,29
2020-11-24 18:06:30,59
2020-11-24 18:07:00,89
2020-11-24 18:07:30,119
2020-11-24 18:08:00,149
2020-11-24 18:08:30,179
2020-11-24 18:09:00,209
2020-11-24 18:09:30,239
2020-11-24 18:10:00,269
2020-11-24 18:10:30,299
2020-11-24 18:11:00,300
2020-11-24 18:11:30,300
2020-11-24 18:12:00,300
2020-11-24 18:12:30,300
2020-11-24 18:13:00,300
2020-11-24 18:13:30,300
2020-11-24 18:14:00,299
2020-11-24 18:14:30,300
2020-11-24 18:15:00,300
2020-11-24 18:15:30,300
2020-11-24 18:16:00,300
2020-11-24 18:16:30,300
2020-11-24 18:17:00,300
2020-11-24 18:17:30,300
2020-11-24 18:18:00,300
2020-11-24 18:18:30,300
2020-11-24 18:19:00,300
2020-11-24 18:19:30,300
2020-11-24 18:20:00,300
2020-11-24 18:20:30,300
2020-11-24 18:21:00,300
2020-11-24 18:21:30,300
2020-11-24 18:22:00,300
2020-11-24 18:22:30,300
2020-11-24 18:23:00,300
2020-11-24 18:23:30,300
2020-11-24 18:24:00,300
2020-11-24 18:24:30,300
2020-11-24 18:25:00,300
2020-11-24 18:25:30,300
2020-11-24 18:26:00,300

