"Time","vera-rubin-simulator"
2020-11-24 16:06:30,
2020-11-24 16:07:00,470
2020-11-24 16:07:30,803
2020-11-24 16:08:00,1134
2020-11-24 16:08:30,1459
2020-11-24 16:09:00,1789
2020-11-24 16:09:30,2098
2020-11-24 16:10:00,2430
2020-11-24 16:10:30,2760
2020-11-24 16:11:00,3085
2020-11-24 16:11:30,3264
2020-11-24 16:12:00,3265
2020-11-24 16:12:30,3258
2020-11-24 16:13:00,3254
2020-11-24 16:13:30,3246
2020-11-24 16:14:00,3254
2020-11-24 16:14:30,3261
2020-11-24 16:15:00,3256
2020-11-24 16:15:30,3253
2020-11-24 16:16:00,3242
2020-11-24 16:16:30,3224
2020-11-24 16:17:00,3222
2020-11-24 16:17:30,3224
2020-11-24 16:18:00,3220
2020-11-24 16:18:30,3208
2020-11-24 16:19:00,3193
2020-11-24 16:19:30,3190
2020-11-24 16:20:00,3179
2020-11-24 16:20:30,3173
2020-11-24 16:21:00,3179
2020-11-24 16:21:30,3183
2020-11-24 16:22:00,3172
2020-11-24 16:22:30,3165
2020-11-24 16:23:00,3155
2020-11-24 16:23:30,3133
2020-11-24 16:24:00,3124
2020-11-24 16:24:30,3104
2020-11-24 16:25:00,3108
2020-11-24 16:25:30,3109
2020-11-24 16:26:00,3114
2020-11-24 16:26:30,3118
2020-11-24 16:27:00,3138
2020-11-24 16:27:30,3146
2020-11-24 16:28:00,3163

