"Time","vera-rubin-simulator"
2020-11-24 13:05:00,
2020-11-24 13:05:30,108
2020-11-24 13:06:00,581
2020-11-24 13:06:30,915
2020-11-24 13:07:00,1235
2020-11-24 13:07:30,1562
2020-11-24 13:08:00,1887
2020-11-24 13:08:30,2209
2020-11-24 13:09:00,2537
2020-11-24 13:09:30,2862
2020-11-24 13:10:00,3220
2020-11-24 13:10:30,3261
2020-11-24 13:11:00,3258
2020-11-24 13:11:30,3253
2020-11-24 13:12:00,3261
2020-11-24 13:12:30,3255
2020-11-24 13:13:00,3262
2020-11-24 13:13:30,3264
2020-11-24 13:14:00,3261
2020-11-24 13:14:30,3260
2020-11-24 13:15:00,3255
2020-11-24 13:15:30,3248
2020-11-24 13:16:00,3241
2020-11-24 13:16:30,3217
2020-11-24 13:17:00,3210
2020-11-24 13:17:30,3205
2020-11-24 13:18:00,3189
2020-11-24 13:18:30,3174
2020-11-24 13:19:00,3133
2020-11-24 13:19:30,3111
2020-11-24 13:20:00,3097
2020-11-24 13:20:30,3092
2020-11-24 13:21:00,3102
2020-11-24 13:21:30,3096
2020-11-24 13:22:00,3104
2020-11-24 13:22:30,3098
2020-11-24 13:23:00,3112
2020-11-24 13:23:30,3150
2020-11-24 13:24:00,3172
2020-11-24 13:24:30,3194
2020-11-24 13:25:00,3200

