"Time","vera-rubin-simulator"
2020-11-26 13:59:30,
2020-11-26 14:00:00,
2020-11-26 14:00:30,
2020-11-26 14:01:00,
2020-11-26 14:01:30,
2020-11-26 14:02:00,17
2020-11-26 14:02:30,101
2020-11-26 14:03:00,161
2020-11-26 14:03:30,221
2020-11-26 14:04:00,280
2020-11-26 14:04:30,341
2020-11-26 14:05:00,400
2020-11-26 14:05:30,460
2020-11-26 14:06:00,520
2020-11-26 14:06:30,591
2020-11-26 14:07:00,597
2020-11-26 14:07:30,597
2020-11-26 14:08:00,598
2020-11-26 14:08:30,598
2020-11-26 14:09:00,598
2020-11-26 14:09:30,598
2020-11-26 14:10:00,598
2020-11-26 14:10:30,598
2020-11-26 14:11:00,598
2020-11-26 14:11:30,599
2020-11-26 14:12:00,599
2020-11-26 14:12:30,599
2020-11-26 14:13:00,599
2020-11-26 14:13:30,600
2020-11-26 14:14:00,599
2020-11-26 14:14:30,599
2020-11-26 14:15:00,599
2020-11-26 14:15:30,599
2020-11-26 14:16:00,598
2020-11-26 14:16:30,598
2020-11-26 14:17:00,598
2020-11-26 14:17:30,598
2020-11-26 14:18:00,597
2020-11-26 14:18:30,597
2020-11-26 14:19:00,597
2020-11-26 14:19:30,597
2020-11-26 14:20:00,597
2020-11-26 14:20:30,597
2020-11-26 14:21:00,597
2020-11-26 14:21:30,597
2020-11-26 14:22:00,596
2020-11-26 14:22:30,597
2020-11-26 14:23:00,596
2020-11-26 14:23:30,597
2020-11-26 14:24:00,597
2020-11-26 14:24:30,596
2020-11-26 14:25:00,596
2020-11-26 14:25:30,597
2020-11-26 14:26:00,597
2020-11-26 14:26:30,598
2020-11-26 14:27:00,598
2020-11-26 14:27:30,598
2020-11-26 14:28:00,599
2020-11-26 14:28:30,599
2020-11-26 14:29:00,599
2020-11-26 14:29:30,600
2020-11-26 14:30:00,600
2020-11-26 14:30:30,600
2020-11-26 14:31:00,600
2020-11-26 14:31:30,600
2020-11-26 14:32:00,600
2020-11-26 14:32:30,600
2020-11-26 14:33:00,601
2020-11-26 14:33:30,600
2020-11-26 14:34:00,601
2020-11-26 14:34:30,600
2020-11-26 14:35:00,600
2020-11-26 14:35:30,600
2020-11-26 14:36:00,601
2020-11-26 14:36:30,600
2020-11-26 14:37:00,600
2020-11-26 14:37:30,600
2020-11-26 14:38:00,601
2020-11-26 14:38:30,601
2020-11-26 14:39:00,601
2020-11-26 14:39:30,600
2020-11-26 14:40:00,600
2020-11-26 14:40:30,600
2020-11-26 14:41:00,600
2020-11-26 14:41:30,600
2020-11-26 14:42:00,600
2020-11-26 14:42:30,600
2020-11-26 14:43:00,600

