"Time","vera-rubin-simulator"
2020-11-26 12:21:30,
2020-11-26 12:22:00,5876575
2020-11-26 12:22:30,11435048
2020-11-26 12:23:00,16937972
2020-11-26 12:23:30,22441478
2020-11-26 12:24:00,27960456
2020-11-26 12:24:30,33431375
2020-11-26 12:25:00,38946820
2020-11-26 12:25:30,44489030
2020-11-26 12:26:00,49972630
2020-11-26 12:26:30,54821117
2020-11-26 12:27:00,54964677
2020-11-26 12:27:30,55024548
2020-11-26 12:28:00,55060667
2020-11-26 12:28:30,55100696
2020-11-26 12:29:00,55092626
2020-11-26 12:29:30,55119452
2020-11-26 12:30:00,55110857
2020-11-26 12:30:30,55114134
2020-11-26 12:31:00,55157383
2020-11-26 12:31:30,55153337
2020-11-26 12:32:00,55158214
2020-11-26 12:32:30,55158099
2020-11-26 12:33:00,55176174
2020-11-26 12:33:30,55140928
2020-11-26 12:34:00,55144391
2020-11-26 12:34:30,55106891
2020-11-26 12:35:00,55105593
2020-11-26 12:35:30,55085682
2020-11-26 12:36:00,55087496
2020-11-26 12:36:30,55043656
2020-11-26 12:37:00,55019590
2020-11-26 12:37:30,54996653
2020-11-26 12:38:00,54992579
2020-11-26 12:38:30,54977721
2020-11-26 12:39:00,54977155
2020-11-26 12:39:30,54947638
2020-11-26 12:40:00,54914942
2020-11-26 12:40:30,54825383
2020-11-26 12:41:00,54799121
2020-11-26 12:41:30,54783483
2020-11-26 12:42:00,54780152
2020-11-26 12:42:30,54778886
2020-11-26 12:43:00,54764359
2020-11-26 12:43:30,54724800
2020-11-26 12:44:00,54710182
2020-11-26 12:44:30,54766718
2020-11-26 12:45:00,54789791
2020-11-26 12:45:30,54802824
2020-11-26 12:46:00,54815554
2020-11-26 12:46:30,54836751
2020-11-26 12:47:00,54799018
2020-11-26 12:47:30,54794937
2020-11-26 12:48:00,54759699
2020-11-26 12:48:30,54738738
2020-11-26 12:49:00,54706810
2020-11-26 12:49:30,54683595
2020-11-26 12:50:00,54782021
2020-11-26 12:50:30,54779430
2020-11-26 12:51:00,54826595
2020-11-26 12:51:30,54823149
2020-11-26 12:52:00,54882852
2020-11-26 12:52:30,54923137

