"Time","vera-rubin-simulator"
2020-11-24 18:05:30,
2020-11-24 18:06:00,2676973
2020-11-24 18:06:30,5415475
2020-11-24 18:07:00,8190825
2020-11-24 18:07:30,10948569
2020-11-24 18:08:00,13700692
2020-11-24 18:08:30,16437652
2020-11-24 18:09:00,19177575
2020-11-24 18:09:30,21947520
2020-11-24 18:10:00,24682015
2020-11-24 18:10:30,27456858
2020-11-24 18:11:00,27488334
2020-11-24 18:11:30,27476054
2020-11-24 18:12:00,27498492
2020-11-24 18:12:30,27494246
2020-11-24 18:13:00,27477617
2020-11-24 18:13:30,27491162
2020-11-24 18:14:00,27468901
2020-11-24 18:14:30,27500967
2020-11-24 18:15:00,27497803
2020-11-24 18:15:30,27486524
2020-11-24 18:16:00,27492492
2020-11-24 18:16:30,27494169
2020-11-24 18:17:00,27504520
2020-11-24 18:17:30,27496632
2020-11-24 18:18:00,27519340
2020-11-24 18:18:30,27537270
2020-11-24 18:19:00,27510792
2020-11-24 18:19:30,27518694
2020-11-24 18:20:00,27530820
2020-11-24 18:20:30,27528782
2020-11-24 18:21:00,27538354
2020-11-24 18:21:30,27518722
2020-11-24 18:22:00,27527957
2020-11-24 18:22:30,27494454
2020-11-24 18:23:00,27525310
2020-11-24 18:23:30,27491152
2020-11-24 18:24:00,27486874
2020-11-24 18:24:30,27484030
2020-11-24 18:25:00,27498135
2020-11-24 18:25:30,27516432
2020-11-24 18:26:00,27465720

