"Time","vera-rubin-simulator"
2020-11-24 17:34:30,
2020-11-24 17:35:00,4310557
2020-11-24 17:35:30,6976474
2020-11-24 17:36:00,9649372
2020-11-24 17:36:30,12298334
2020-11-24 17:37:00,14974899
2020-11-24 17:37:30,17634247
2020-11-24 17:38:00,20302598
2020-11-24 17:38:30,22974580
2020-11-24 17:39:00,25656971
2020-11-24 17:39:30,26703359
2020-11-24 17:40:00,26696500
2020-11-24 17:40:30,26673364
2020-11-24 17:41:00,26705375
2020-11-24 17:41:30,26722848
2020-11-24 17:42:00,26702743
2020-11-24 17:42:30,26701657
2020-11-24 17:43:00,26718556
2020-11-24 17:43:30,26719980
2020-11-24 17:44:00,26721206
2020-11-24 17:44:30,26707953
2020-11-24 17:45:00,26743986
2020-11-24 17:45:30,26744024
2020-11-24 17:46:00,26707169
2020-11-24 17:46:30,26715013
2020-11-24 17:47:00,26716792
2020-11-24 17:47:30,26740916
2020-11-24 17:48:00,26713626
2020-11-24 17:48:30,26746087
2020-11-24 17:49:00,26730146
2020-11-24 17:49:30,26728340
2020-11-24 17:50:00,26715000
2020-11-24 17:50:30,26723387
2020-11-24 17:51:00,26728047
2020-11-24 17:51:30,26751290
2020-11-24 17:52:00,26697620
2020-11-24 17:52:30,26745905
2020-11-24 17:53:00,26738050
2020-11-24 17:53:30,26739467
2020-11-24 17:54:00,26737473
2020-11-24 17:54:30,26760951
2020-11-24 17:55:00,26725824

