"Time","vera-rubin-simulator"
2020-11-24 15:24:00,
2020-11-24 15:24:30,525
2020-11-24 15:25:00,857
2020-11-24 15:25:30,1185
2020-11-24 15:26:00,1514
2020-11-24 15:26:30,1839
2020-11-24 15:27:00,2165
2020-11-24 15:27:30,2487
2020-11-24 15:28:00,2814
2020-11-24 15:28:30,3138
2020-11-24 15:29:00,3269
2020-11-24 15:29:30,3262
2020-11-24 15:30:00,3259
2020-11-24 15:30:30,3246
2020-11-24 15:31:00,3248
2020-11-24 15:31:30,3248
2020-11-24 15:32:00,3254
2020-11-24 15:32:30,3247
2020-11-24 15:33:00,3244
2020-11-24 15:33:30,3240
2020-11-24 15:34:00,3242
2020-11-24 15:34:30,3243
2020-11-24 15:35:00,3236
2020-11-24 15:35:30,3230
2020-11-24 15:36:00,3207
2020-11-24 15:36:30,3188
2020-11-24 15:37:00,3161
2020-11-24 15:37:30,3129
2020-11-24 15:38:00,3101
2020-11-24 15:38:30,3067
2020-11-24 15:39:00,3045
2020-11-24 15:39:30,3034
2020-11-24 15:40:00,3038
2020-11-24 15:40:30,3039
2020-11-24 15:41:00,3062
2020-11-24 15:41:30,3091
2020-11-24 15:42:00,3138
2020-11-24 15:42:30,3165
2020-11-24 15:43:00,3189
2020-11-24 15:43:30,3214
2020-11-24 15:44:00,3236
2020-11-24 15:44:30,3250

