"Time","vera-rubin-simulator"
2020-11-24 16:06:30,
2020-11-24 16:07:00,42647915
2020-11-24 16:07:30,73336607
2020-11-24 16:08:00,103670822
2020-11-24 16:08:30,133327505
2020-11-24 16:09:00,163604201
2020-11-24 16:09:30,192031885
2020-11-24 16:10:00,222635611
2020-11-24 16:10:30,252649103
2020-11-24 16:11:00,282522134
2020-11-24 16:11:30,299192233
2020-11-24 16:12:00,299326121
2020-11-24 16:12:30,298754563
2020-11-24 16:13:00,298420412
2020-11-24 16:13:30,297714145
2020-11-24 16:14:00,298553020
2020-11-24 16:14:30,299074367
2020-11-24 16:15:00,298566215
2020-11-24 16:15:30,298342699
2020-11-24 16:16:00,297405727
2020-11-24 16:16:30,295841949
2020-11-24 16:17:00,295504895
2020-11-24 16:17:30,295698920
2020-11-24 16:18:00,295307317
2020-11-24 16:18:30,294250688
2020-11-24 16:19:00,292786251
2020-11-24 16:19:30,292683341
2020-11-24 16:20:00,291368708
2020-11-24 16:20:30,290963799
2020-11-24 16:21:00,291585332
2020-11-24 16:21:30,291951382
2020-11-24 16:22:00,290960841
2020-11-24 16:22:30,290200018
2020-11-24 16:23:00,289343870
2020-11-24 16:23:30,287242006
2020-11-24 16:24:00,286426011
2020-11-24 16:24:30,284630603
2020-11-24 16:25:00,284923793
2020-11-24 16:25:30,285040642
2020-11-24 16:26:00,285639244
2020-11-24 16:26:30,285880349
2020-11-24 16:27:00,287846454
2020-11-24 16:27:30,288484552
2020-11-24 16:28:00,290070735

