"Time","vera-rubin-simulator"
2020-11-24 10:40:00,
2020-11-24 10:40:30,197
2020-11-24 10:41:00,411
2020-11-24 10:41:30,622
2020-11-24 10:42:00,833
2020-11-24 10:42:30,1046
2020-11-24 10:43:00,1271
2020-11-24 10:43:30,1495
2020-11-24 10:44:00,1719
2020-11-24 10:44:30,1943
2020-11-24 10:45:00,2160
2020-11-24 10:45:30,2183
2020-11-24 10:46:00,2199
2020-11-24 10:46:30,2214
2020-11-24 10:47:00,2230
2020-11-24 10:47:30,2234
2020-11-24 10:48:00,2233
2020-11-24 10:48:30,2233
2020-11-24 10:49:00,2232
2020-11-24 10:49:30,2233
2020-11-24 10:50:00,2226
2020-11-24 10:50:30,2231
2020-11-24 10:51:00,2229
2020-11-24 10:51:30,2228
2020-11-24 10:52:00,2229
2020-11-24 10:52:30,2222
2020-11-24 10:53:00,2223
2020-11-24 10:53:30,2224
2020-11-24 10:54:00,2224
2020-11-24 10:54:30,2225
2020-11-24 10:55:00,2228
2020-11-24 10:55:30,2229
2020-11-24 10:56:00,2229
2020-11-24 10:56:30,2226
2020-11-24 10:57:00,2227
2020-11-24 10:57:30,2238
2020-11-24 10:58:00,2231
2020-11-24 10:58:30,2228
2020-11-24 10:59:00,2226
2020-11-24 10:59:30,2226
2020-11-24 11:00:00,2226
2020-11-24 11:00:30,2227
2020-11-24 11:01:00,2231
2020-11-24 11:01:30,2229
2020-11-24 11:02:00,2228
2020-11-24 11:02:30,2229
2020-11-24 11:03:00,2237

