"Time","vera-rubin-simulator"
2020-11-24 11:21:30,
2020-11-24 11:22:00,224
2020-11-24 11:22:30,432
2020-11-24 11:23:00,644
2020-11-24 11:23:30,856
2020-11-24 11:24:00,1073
2020-11-24 11:24:30,1297
2020-11-24 11:25:00,1523
2020-11-24 11:25:30,1748
2020-11-24 11:26:00,1972
2020-11-24 11:26:30,2171
2020-11-24 11:27:00,2194
2020-11-24 11:27:30,2211
2020-11-24 11:28:00,2225
2020-11-24 11:28:30,2239
2020-11-24 11:29:00,2241
2020-11-24 11:29:30,2241
2020-11-24 11:30:00,2240
2020-11-24 11:30:30,2237
2020-11-24 11:31:00,2236
2020-11-24 11:31:30,2234
2020-11-24 11:32:00,2234
2020-11-24 11:32:30,2233
2020-11-24 11:33:00,2235
2020-11-24 11:33:30,2237
2020-11-24 11:34:00,2237
2020-11-24 11:34:30,2238
2020-11-24 11:35:00,2242
2020-11-24 11:35:30,2232
2020-11-24 11:36:00,2244
2020-11-24 11:36:30,2241
2020-11-24 11:37:00,2241
2020-11-24 11:37:30,2240
2020-11-24 11:38:00,2237
2020-11-24 11:38:30,2236
2020-11-24 11:39:00,2236
2020-11-24 11:39:30,2240
2020-11-24 11:40:00,2231
2020-11-24 11:40:30,2217
2020-11-24 11:41:00,2230
2020-11-24 11:41:30,2231
2020-11-24 11:42:00,2231

