"Time","vera-rubin-simulator"
2020-11-24 14:17:00,
2020-11-24 14:17:30,
2020-11-24 14:18:00,
2020-11-24 14:18:30,1550207
2020-11-24 14:19:00,8701178
2020-11-24 14:19:30,14042778
2020-11-24 14:20:00,19372210
2020-11-24 14:20:30,24675680
2020-11-24 14:21:00,30056494
2020-11-24 14:21:30,35414798
2020-11-24 14:22:00,40782329
2020-11-24 14:22:30,46128386
2020-11-24 14:23:00,51925103
2020-11-24 14:23:30,53453600
2020-11-24 14:24:00,53484109
2020-11-24 14:24:30,53539137
2020-11-24 14:25:00,53617416
2020-11-24 14:25:30,53611526
2020-11-24 14:26:00,53558986
2020-11-24 14:26:30,53565647
2020-11-24 14:27:00,53560680
2020-11-24 14:27:30,53536014
2020-11-24 14:28:00,53553367
2020-11-24 14:28:30,53557548
2020-11-24 14:29:00,53537860
2020-11-24 14:29:30,53541158
2020-11-24 14:30:00,53505851
2020-11-24 14:30:30,53453592
2020-11-24 14:31:00,53409320
2020-11-24 14:31:30,53356178
2020-11-24 14:32:00,53388099
2020-11-24 14:32:30,53294894
2020-11-24 14:33:00,53296402
2020-11-24 14:33:30,53298077
2020-11-24 14:34:00,53290306
2020-11-24 14:34:30,53285214
2020-11-24 14:35:00,53325482
2020-11-24 14:35:30,53293804
2020-11-24 14:36:00,53292211
2020-11-24 14:36:30,53268343
2020-11-24 14:37:00,53295618
2020-11-24 14:37:30,53286924
2020-11-24 14:38:00,53263548
2020-11-24 14:38:30,53246923
2020-11-24 14:39:00,53251497
2020-11-24 14:39:30,53272838
2020-11-24 14:40:00,53229623
2020-11-24 14:40:30,53261450
2020-11-24 14:41:00,53280177
2020-11-24 14:41:30,53320942
2020-11-24 14:42:00,53300943
2020-11-24 14:42:30,53252023
2020-11-24 14:43:00,53277258
2020-11-24 14:43:30,53279177
2020-11-24 14:44:00,53263614
2020-11-24 14:44:30,53234607
2020-11-24 14:45:00,53233812
2020-11-24 14:45:30,53267218
2020-11-24 14:46:00,53240488
2020-11-24 14:46:30,53250008
2020-11-24 14:47:00,53275331
2020-11-24 14:47:30,53307745
2020-11-24 14:48:00,53328351
2020-11-24 14:48:30,53358820

