"Time","vera-rubin-simulator"
2020-11-26 18:03:00,
2020-11-26 18:03:30,
2020-11-26 18:04:00,
2020-11-26 18:04:30,
2020-11-26 18:05:00,
2020-11-26 18:05:30,
2020-11-26 18:06:00,
2020-11-26 18:06:30,64
2020-11-26 18:07:00,361
2020-11-26 18:07:30,579
2020-11-26 18:08:00,798
2020-11-26 18:08:30,1019
2020-11-26 18:09:00,1248
2020-11-26 18:09:30,1483
2020-11-26 18:10:00,1718
2020-11-26 18:10:30,1953
2020-11-26 18:11:00,2218
2020-11-26 18:11:30,2271
2020-11-26 18:12:00,2294
2020-11-26 18:12:30,2310
2020-11-26 18:13:00,2327
2020-11-26 18:13:30,2337
2020-11-26 18:14:00,2337
2020-11-26 18:14:30,2337
2020-11-26 18:15:00,2336
2020-11-26 18:15:30,2336
2020-11-26 18:16:00,2335
2020-11-26 18:16:30,2335
2020-11-26 18:17:00,2335
2020-11-26 18:17:30,2336
2020-11-26 18:18:00,2336
2020-11-26 18:18:30,2336
2020-11-26 18:19:00,2336
2020-11-26 18:19:30,2337
2020-11-26 18:20:00,2337
2020-11-26 18:20:30,2338
2020-11-26 18:21:00,2337
2020-11-26 18:21:30,2338
2020-11-26 18:22:00,2337
2020-11-26 18:22:30,2336
2020-11-26 18:23:00,2337
2020-11-26 18:23:30,2337
2020-11-26 18:24:00,2336
2020-11-26 18:24:30,2336
2020-11-26 18:25:00,2335
2020-11-26 18:25:30,2335
2020-11-26 18:26:00,2335
2020-11-26 18:26:30,2336
2020-11-26 18:27:00,2336
2020-11-26 18:27:30,2336
2020-11-26 18:28:00,2335
2020-11-26 18:28:30,2336
2020-11-26 18:29:00,2334
2020-11-26 18:29:30,2334
2020-11-26 18:30:00,2334
2020-11-26 18:30:30,2334
2020-11-26 18:31:00,2334
2020-11-26 18:31:30,2334
2020-11-26 18:32:00,2334
2020-11-26 18:32:30,2334
2020-11-26 18:33:00,2334
2020-11-26 18:33:30,2334
2020-11-26 18:34:00,2333
2020-11-26 18:34:30,2334
2020-11-26 18:35:00,2333
2020-11-26 18:35:30,2333
2020-11-26 18:36:00,2333
2020-11-26 18:36:30,2334
2020-11-26 18:37:00,2334
2020-11-26 18:37:30,2334
2020-11-26 18:38:00,2334
2020-11-26 18:38:30,2334
2020-11-26 18:39:00,2335
2020-11-26 18:39:30,2334
2020-11-26 18:40:00,2336
2020-11-26 18:40:30,2335
2020-11-26 18:41:00,2335
2020-11-26 18:41:30,2336
2020-11-26 18:42:00,2335
2020-11-26 18:42:30,2336
2020-11-26 18:43:00,2336
2020-11-26 18:43:30,2337
2020-11-26 18:44:00,2337
2020-11-26 18:44:30,2338
2020-11-26 18:45:00,2337
2020-11-26 18:45:30,2338
2020-11-26 18:46:00,2339
2020-11-26 18:46:30,2339
2020-11-26 18:47:00,2338
2020-11-26 18:47:30,2339
2020-11-26 18:48:00,2340
2020-11-26 18:48:30,2340
2020-11-26 18:49:00,2339
2020-11-26 18:49:30,2340
2020-11-26 18:50:00,2340
2020-11-26 18:50:30,2339
2020-11-26 18:51:00,2339
2020-11-26 18:51:30,2338
2020-11-26 18:52:00,2338
2020-11-26 18:52:30,2338
2020-11-26 18:53:00,2339
2020-11-26 18:53:30,2337
2020-11-26 18:54:00,2336
2020-11-26 18:54:30,2337
2020-11-26 18:55:00,2337
2020-11-26 18:55:30,2336
2020-11-26 18:56:00,2337
2020-11-26 18:56:30,2337
2020-11-26 18:57:00,2337
2020-11-26 18:57:30,2339
2020-11-26 18:58:00,2337
2020-11-26 18:58:30,2338
2020-11-26 18:59:00,2339
2020-11-26 18:59:30,2338
2020-11-26 19:00:00,2338
2020-11-26 19:00:30,2339
2020-11-26 19:01:00,2339
2020-11-26 19:01:30,2339
2020-11-26 19:02:00,2338
2020-11-26 19:02:30,2338
2020-11-26 19:03:00,2338
2020-11-26 19:03:30,2338
2020-11-26 19:04:00,2338
2020-11-26 19:04:30,2338
2020-11-26 19:05:00,2338
2020-11-26 19:05:30,2338
2020-11-26 19:06:00,2338
2020-11-26 19:06:30,2338
2020-11-26 19:07:00,2337
2020-11-26 19:07:30,2338
2020-11-26 19:08:00,2338
2020-11-26 19:08:30,2338
2020-11-26 19:09:00,2337
2020-11-26 19:09:30,2337
2020-11-26 19:10:00,2337
2020-11-26 19:10:30,2337
2020-11-26 19:11:00,2337
2020-11-26 19:11:30,2336
2020-11-26 19:12:00,2336
2020-11-26 19:12:30,2337
2020-11-26 19:13:00,2336
2020-11-26 19:13:30,2336
2020-11-26 19:14:00,2336
2020-11-26 19:14:30,2337
2020-11-26 19:15:00,2336
2020-11-26 19:15:30,2337
2020-11-26 19:16:00,2337
2020-11-26 19:16:30,2337
2020-11-26 19:17:00,2338
2020-11-26 19:17:30,2337

