"Time","vera-rubin-simulator"
2020-11-26 17:17:30,
2020-11-26 17:18:00,
2020-11-26 17:18:30,
2020-11-26 17:19:00,196
2020-11-26 17:19:30,405
2020-11-26 17:20:00,620
2020-11-26 17:20:30,833
2020-11-26 17:21:00,1058
2020-11-26 17:21:30,1288
2020-11-26 17:22:00,1521
2020-11-26 17:22:30,1752
2020-11-26 17:23:00,1983
2020-11-26 17:23:30,2226
2020-11-26 17:24:00,2252
2020-11-26 17:24:30,2270
2020-11-26 17:25:00,2287
2020-11-26 17:25:30,2305
2020-11-26 17:26:00,2307
2020-11-26 17:26:30,2308
2020-11-26 17:27:00,2308
2020-11-26 17:27:30,2308
2020-11-26 17:28:00,2307
2020-11-26 17:28:30,2306
2020-11-26 17:29:00,2307
2020-11-26 17:29:30,2307
2020-11-26 17:30:00,2308
2020-11-26 17:30:30,2307
2020-11-26 17:31:00,2307
2020-11-26 17:31:30,2307
2020-11-26 17:32:00,2307
2020-11-26 17:32:30,2306
2020-11-26 17:33:00,2307
2020-11-26 17:33:30,2305
2020-11-26 17:34:00,2306
2020-11-26 17:34:30,2305
2020-11-26 17:35:00,2305
2020-11-26 17:35:30,2304
2020-11-26 17:36:00,2305
2020-11-26 17:36:30,2304
2020-11-26 17:37:00,2304
2020-11-26 17:37:30,2303
2020-11-26 17:38:00,2304
2020-11-26 17:38:30,2305
2020-11-26 17:39:00,2304
2020-11-26 17:39:30,2304
2020-11-26 17:40:00,2305
2020-11-26 17:40:30,2304
2020-11-26 17:41:00,2304
2020-11-26 17:41:30,2304
2020-11-26 17:42:00,2304
2020-11-26 17:42:30,2302
2020-11-26 17:43:00,2304
2020-11-26 17:43:30,2304
2020-11-26 17:44:00,2305
2020-11-26 17:44:30,2306
2020-11-26 17:45:00,2307
2020-11-26 17:45:30,2307
2020-11-26 17:46:00,2309
2020-11-26 17:46:30,2309
2020-11-26 17:47:00,2310
2020-11-26 17:47:30,2310
2020-11-26 17:48:00,2310
2020-11-26 17:48:30,2309
2020-11-26 17:49:00,2309
2020-11-26 17:49:30,2308
2020-11-26 17:50:00,2309
2020-11-26 17:50:30,2308
2020-11-26 17:51:00,2308
2020-11-26 17:51:30,2308

